myadd píng 瓶
54C1 pǐn 品
54C2 shěn 哂
54C4 hōng,hǒng,hòng 哄
54C5 xiōng 哅
54C6 duō 哆
54C7 wā,wa 哇
54C8 hā,hǎ,hà 哈
54C9 zāi 哉
54CC pài 哌
54CD xiǎng 响
54CE āi 哎
54CF gén 哏
54D0 kuāng 哐
54D1 yā,yǎ 哑
54D3 xiāo 哓
54D4 bì 哔
54D5 huì,yuě 哕
54D7 huā,huá 哗
54D9 kuài 哙
54DA duǒ 哚
54DC jì 哜
54DD nóng 哝
54DE mōu 哞
54DF yō,yo 哟
54E2 lòng 哢
54E5 gē 哥
54E6 é,ó,ò 哦
54E7 chī 哧
54E8 shào 哨
54E9 lī,lǐ,li,yīng 哩
54EA nǎ,na,nǎi,né,něi 哪
54ED kū 哭
54EE xiāo 哮
54F1 bō 哱
54F2 zhé 哲
54F3 zhā 哳
54F6 miē 哶
54FA bǔ 哺
54FC hēng,hng 哼
54FD gěng 哽
54FF gě 哿
5501 yàn 唁
5506 suō 唆
5507 chún 唇
5508 yì 唈
5509 āi,ài 唉
550F xī 唏
5510 táng 唐
5511 zuò 唑
5513 chē 唓
5514 ń,ńg,wú 唔
5517 dōu 唗
5519 dí 唙
551A qìn 唚
551D gòng,hǒng 唝
5520 láo,lào 唠
5521 liǎng,yīng 唡
5522 suǒ 唢
5523 zào 唣
5524 huàn 唤
5527 jī 唧
552A fěng 唪
552B jìn,yín 唫
552C hǔ,xià 唬
552E shòu 售
552F wéi,wěi 唯
5530 shuā 唰
5531 chàng 唱
5533 lì 唳
5537 yō 唷
5538 niàn 唸
553C shà 唼
553E tuò 唾
553F hū 唿
5541 zhāo,zhōu 啁
5543 kěn 啃
5544 zhuó 啄
5546 shāng 商
5548 hēng,hèng 啈
5549 lín 啉
554A ā,á,ǎ,à,a 啊
554E wǔ 啎
5550 cuì 啐
5553 qǐ 啓
5555 táo 啕
5556 dàn 啖
5557 dàn 啗
5559 zǐ 啙
555C chuài,chuò 啜
555E yā,yǎ 啞
555F qǐ 啟
5561 fēi 啡
5562 liǎng,yīng 啢
5563 xián 啣
5564 pí 啤
5565 shà 啥
5566 lā,la 啦
5567 zé 啧
556A pā 啪
556C sè 啬
556D zhuàn 啭
556E niè 啮
5574 chǎn,tān 啴
5575 bo 啵
5576 dìng 啶
5577 lāng 啷
5578 xiào 啸
557B chì 啻
557C tí 啼
557E jiū 啾
5580 kā 喀
5581 yóng 喁
5582 wèi 喂
5583 nán 喃
5584 shàn 善
5586 zhé 喆
5587 lā,lá,lǎ 喇
5588 jiē 喈
5589 hóu 喉
558A hǎn 喊
558B dié,zhá 喋
558C zhōu 喌
558E wāi 喎
558F nuò,rě 喏
5591 yīn 喑
5592 zá,zán,zan 喒
5593 yāo 喓
5594 ō,ò,wō 喔
5598 chuǎn 喘
5599 huì 喙
559C xǐ 喜
559D hē,hè 喝
559F kuì 喟
55A4 huáng 喤
55A7 xuān 喧
55A8 liàng 喨
55AA sāng,sàng 喪
55AB chī 喫
55AC qiáo 喬
55AD yàn 喭
55AE chán,dān,shàn 單
55B1 lí 喱
55B3 chā,zhā 喳
55B5 miāo 喵
55B7 pēn,pèn 喷
55B9 kuí 喹
55BB yù 喻
55BD lóu,lou 喽
55BE kù 喾
55C1 tí 嗁
55C4 á,shà 嗄
55C5 xiù 嗅
55C6 qiāng,qiàng 嗆
55C7 sè 嗇
55C8 yōng 嗈
55C9 sù 嗉
55CC ài,yì 嗌
55CD suō 嗍
55D0 hài 嗐
55D1 kē,kè 嗑
55D2 dā,tà 嗒
55D3 sǎng 嗓
55D4 chēn 嗔
55D6 sōu 嗖
55D9 pǎng 嗙
55DA wū 嗚
55DB qiǎn 嗛
55DC shì 嗜
55DD gé 嗝
55DE zī 嗞
55DF jiē,juē 嗟
55E1 wēng 嗡
55E3 sì 嗣
55E4 chī 嗤
55E5 háo 嗥
55E6 suō 嗦
55E8 hāi,hēi 嗨
55EA qín 嗪
55EB niè 嗫
55EC hē 嗬
55EF ń,ň,ǹ,ńg,ňg,ǹg 嗯
55F2 diǎ 嗲
55F3 āi,ǎi,ài 嗳
55F5 tōng 嗵
55F6 bì 嗶
55F7 áo 嗷
55FB zhē,zhè 嗻
55FD sòu 嗽
55FE sǒu 嗾
5600 dī,dí 嘀
5601 qī 嘁
5605 kǎi 嘅
5606 tàn 嘆
5608 cáo 嘈
5609 jiā 嘉
560C piào 嘌
560D lóu,lou 嘍
560E gā,gá,gǎ 嘎
560F gǔ,jiǎ 嘏
5611 hū 嘑
5612 huì 嘒
5614 ǒu 嘔
5617 cháng 嘗
5618 shī,xū 嘘
561A dē,dēi 嘚
561B ma 嘛
561E lei 嘞
561F dū 嘟
5621 tāng 嘡
5623 bēng 嘣
5624 yīng 嘤
5626 jiào 嘦
5627 mì 嘧
5629 huā,huá 嘩
562C chuài,zuō 嘬
562D pēng 嘭
562E láo,lào 嘮
562F xiào 嘯
5630 jī 嘰
5631 zhǔ 嘱
5632 cháo,zhāo 嘲
5634 zuǐ 嘴
5635 xiāo 嘵
5636 sī 嘶
5638 ḿ 嘸
5639 liáo 嘹
563B xī 嘻
563D chǎn,tān 嘽
563F hēi,mò 嘿
5640 xùn 噀
5641 ě 噁
5646 zǎn 噆
5647 chuáng 噇
5649 dàn 噉
564C cēng,chēng 噌
564D jiào 噍
564E yē 噎
564F xī 噏
5650 qì 噐
5651 háo 噑
5654 dēng 噔
5657 pū 噗
5658 juē 噘
5659 qín 噙
565A xún 噚
565C lū 噜
565D sī 噝
5660 dā 噠
5662 ō 噢
5664 jìn 噤
5665 nóng 噥
5666 huì,yuě 噦
5668 qì 器
5669 è 噩
566A zào 噪
566B yī 噫
566C shì 噬
566D jiào 噭
566F āi,ǎi,ài 噯
5670 yōng 噰
5671 jué,xué 噱
5672 kuài 噲
5676 gá 噶
5677 hm 噷
5678 dūn 噸
5679 dāng 噹
567B sāi 噻
567C pī 噼
567D pǐ 噽
5680 níng 嚀
5683 tā 嚃
5684 huō,huò,ǒ 嚄
5685 rú 嚅
5686 hāo 嚆
5687 hè,xià 嚇
568C jì 嚌
568E háo 嚎
568F tì 嚏
5690 cháng 嚐
5693 cā,chā 嚓
5699 niè 嚙
569A yín 嚚
569C me 嚜
56A3 áo,xiāo 嚣
56A5 yàn 嚥
56A6 lì 嚦
56A8 lóng 嚨
56AA dàn 嚪
56AB chèn 嚫
56AC pín 嚬
56AD pǐ 嚭
56AE xiàng 嚮
56AF huò 嚯
56B2 duǒ 嚲
56B3 kù 嚳
56B4 yán 嚴
56B7 rāng,rǎng 嚷
56BB xiāo 嚻
56BC jiáo,jiào,jué 嚼
56BE huān 嚾
56C0 zhuàn 囀
56C1 niè 囁
56C5 chǎn 囅
56C8 yì 囈
56C9 luō,luó 囉
56CA nāng,náng 囊
56CC sū 囌
56D1 zhǔ 囑
56D4 nāng 囔
56D8 huí 囘
56DA qiú 囚
56DB sì 四
56DD jiǎn,nān 囝
56DE huí 回
56DF xìn 囟
56E0 yīn 因
56E1 nān 囡
56E2 tuán 团
56E4 dùn,tún 囤
56E5 kàng 囥
56EB hú 囫
56EC huí 囬
56ED yuán 园
56EE é 囮
56EF guó 囯
56F0 kùn 困
56F1 cōng 囱
56F4 wéi 围
56F5 lún 囵
56F7 qūn 囷
56F9 líng 囹
56FA gù 固
56FD guó 国
56FE tú 图
56FF yòu 囿
5702 hùn 圂
5703 pǔ 圃
5704 yǔ 圄
5705 hán 圅
5706 yuán 圆
5707 lún 圇
5708 juān,juàn,quān 圈
5709 yǔ 圉
570A qīng 圊
570B guó 國
570C chuán,chuí 圌
570D wéi 圍
5710 kū 圐
5712 yuán 園
5715 tú 圕
5716 tú 圖
5718 tuán 團
5719 lüè 圙
571C huán,yuán 圜
571D luán 圝
571E luán 圞
571F tǔ 土
5723 shèng 圣
5728 zài 在
5729 wéi,xū 圩
572A gē 圪
572C wū 圬
572D guī 圭
572E pǐ 圮
572F yí 圯
5730 de,dì 地
5733 zhèn 圳
5739 kuàng 圹
573A cháng,chǎng 场
573B qí,yín 圻
573E jī 圾
5740 zhǐ 址
5742 bǎn 坂
5747 jūn 均
574A fāng,fáng 坊
574B bèn,fèn 坋
574C bèn 坌
574D tān 坍
574E kǎn 坎
574F huài,pī 坏
5750 zuò 坐
5751 kēng 坑
5757 kuài 块
575A jiān 坚
575B tán 坛
575C lì 坜
575D bà 坝
575E wù 坞
575F fén 坟
5760 zhuì 坠
5761 pō 坡
5762 bàn 坢
5764 kūn 坤
5766 tǎn 坦
5768 tuó 坨
5769 gān 坩
576A píng 坪
576B diàn 坫
576D ní 坭
576F pī 坯
5773 ào 坳
5775 qiū 坵
5776 mǔ 坶
5777 jiōng,kē,kě 坷
577B chí,dǐ 坻
577C chè 坼
577F fù 坿
5782 chuí 垂
5783 lā 垃
5784 lǒng 垄
5786 lú 垆
5787 ào 垇
578B xíng 型
578C dòng,tóng 垌
578D jì 垍
5792 lěi 垒
5793 gāi 垓
5795 hòu 垕
579A yáo 垚
579B duǒ,duò 垛
579C duǒ,duò 垜
579D guǐ 垝
579E chá 垞
579F yáng 垟
57A0 yín 垠
57A1 fá 垡
57A2 gòu 垢
57A3 yuán 垣
57A4 dié 垤
57A6 kěn 垦
57A7 shǎng 垧
57A9 è 垩
57AB diàn 垫
57AD yā 垭
57AE kuǎ 垮
57AF da 垯
57B1 dàng 垱
57B2 kǎi 垲
57B4 nǎo 垴
57B5 ǎn 垵
57B8 yuàn 垸
57BD yìn 垽
57BF xù 垿
57C2 gěng 埂
57C3 āi 埃
57C6 què 埆
57CB mái,mán 埋
57CC làng 埌
57CE chéng 城
57CF shān 埏
57D2 liè 埒
57D4 bù,pǔ 埔
57D5 chéng 埕
57D8 shí 埘
57D9 xūn 埙
57DA guō 埚
57DC yě 埜
57DD niàn 埝
57DF yù 域
57E0 bù 埠
57E1 yā 埡
57E4 pí,pì 埤
57E8 lǔn 埨
57ED dài 埭
57EF ǎn 埯
57F0 cài 埰
57F3 kǎn 埳
57F4 zhí 埴
57F5 duǒ 埵
57F7 zhí 執
57F8 yì 埸
57F9 péi 培
57FA jī 基
57FB zhǔn 埻
57FC qí 埼
57FD sào 埽
5800 kū 堀
5802 táng 堂
5803 kūn 堃
5804 nì 堄
5805 jiān 堅
5806 duī,zuī 堆
5807 jǐn 堇
5809 yù 堉
580A è 堊
580B péng 堋
580C gù 堌
580D tù 堍
580E lèng 堎
5811 qiàn 堑
5815 duò,huī 堕
5816 nǎo 堖
5818 chéng 堘
5819 yīn 堙
581D guō 堝
581E dié 堞
5820 hòu 堠
5821 bǎo,bǔ,pù 堡
5824 dī 堤
5826 jiē 堦
5827 ruán 堧
5829 gèng 堩
582A kān 堪
582F yáo 堯
5830 yàn 堰
5831 bào 報
5834 cháng,chǎng 場
5835 dǔ 堵
5836 tuó 堶
583D gāng 堽
583E chūn 堾
583F jiǎn 堿
5843 huāng 塃
5844 léng 塄
5845 duàn 塅
5846 wān 塆
5848 jì 塈
584A kuài 塊
584B yíng 塋
584C tā 塌
584D chéng 塍
584F kǎi 塏
5851 sù 塑
5852 shí 塒
5854 da,tǎ 塔
5855 wěng 塕
5857 tú 塗
5858 táng 塘
5859 què 塙
585C zhǒng 塜
585D bàng 塝
585E sāi,sài,sè 塞
5862 wù 塢
5865 gé 塥
5868 gōng 塨
586B tián 填
586C yuán 塬
586E xiè 塮
5871 lǎng 塱
5872 cháng,chǎng 塲
5875 chén 塵
587C zhuān 塼
587D shuǎng 塽
587E shú 塾
5880 chí 墀
5881 màn 墁
5883 jìng 境
5885 shù 墅
5888 kàn 墈
5889 yōng 墉
588A diàn 墊
5890 jìn 墐
5892 shāng 墒
5893 mù 墓
5896 tǎ 墖
5898 qián 墘
5899 qiáng 墙
589A liáng 墚
589C zhuì 墜
589D qiāo 墝
589E zēng 增
589F xū 墟
58A0 shàn 墠
58A1 shàn 墡
58A6 fán 墦
58A8 mò 墨
58A9 dūn 墩
58AC dì 墬
58AE duò 墮
58B0 tán 墰
58B3 fén 墳
58B6 da 墶
58BB qiáng 墻
58BC jī 墼
58BE kěn 墾
58C1 bì 壁
58C4 yě 壄
58C5 yōng 壅
58C7 tán 壇
58C8 lǎn 壈
58CB dàng 壋
58CE xūn 壎
58D1 hè 壑
58D3 yā,yà 壓
58D5 háo 壕
58D6 ruán 壖
58D8 lěi 壘
58D9 kuàng 壙
58DA lú 壚
58DC tán 壜
58DE huài 壞
58DF lǒng 壟
58E0 lǒng 壠
58E2 lì 壢
58E4 rǎng 壤
58E9 bà 壩
58EA wān 壪
58EB shì 士
58EC rén 壬
58EE zhuàng 壮
58EF zhuàng 壯
58F0 shēng 声
58F3 ké,qiào 壳
58F6 hú 壶
58F8 kǔn 壸
58F9 yī 壹
58FA hú 壺
58FB xù 壻
58FC kǔn 壼
58FD shòu 壽
5900 shòu 夀
5904 chǔ,chù 处
5907 bèi 备
590D fù 复
590F xià 夏
5910 xiòng 夐
5912 náo 夒
5914 kuí 夔
5915 xī 夕
5916 wài 外
5919 sù 夙
591A duō 多
591C yè 夜
591F gòu 够
5920 gòu 夠
5922 mèng 夢
5924 yín 夤
5925 huǒ 夥
5927 dà,dài 大
5929 tiān 天
592A tài 太
592B fū,fú 夫
592C guài 夬
592D yāo 夭
592E yāng 央
592F bèn,hāng 夯
5931 shī 失
5934 tóu,tou 头
5937 yí 夷
5938 kuā 夸
5939 gā,jiā,jiá 夹
593A duó 夺
593C kuǎng 夼
593E gā,jiā,jiá 夾
593F bā 夿
5940 ēn 奀
5941 lián 奁
5942 huàn 奂
5944 yǎn 奄
5945 pào 奅
5947 jī,qí 奇
5948 nài 奈
5949 fèng 奉
594B fèn 奋
594E kuí 奎
594F zòu 奏
5950 huàn 奐
5951 qì,xiè 契
5953 zhā,zhà 奓
5954 bēn,bèn 奔
5955 yì 奕
5956 jiǎng 奖
5957 tào 套
5958 zàng,zhuǎng 奘
595A xī 奚
5960 diàn 奠
5961 ào 奡
5962 shē 奢
5964 hǎ,tǎi 奤
5965 ào 奥
5969 lián 奩
596A duó 奪
596C jiǎng 奬
596D shì 奭
596E fèn 奮
5970 bì 奰
5972 duǒ 奲
5973 nǚ 女
5974 nú 奴
5976 nǎi 奶
5978 jiān 奸
5979 tā 她
597C chà 奼
597D hǎo,hào 好
5981 shuò 妁
5982 rú 如
5983 fēi 妃
5984 wàng 妄
5986 zhuāng 妆
5987 fù 妇
5988 mā 妈
598A rèn 妊
598D yán 妍
5992 dù 妒
5993 jì 妓
5996 yāo 妖
5997 jìn 妗
5998 yún 妘
5999 miào 妙
599D zhuāng 妝
599E niū 妞
59A3 bǐ 妣
59A4 yú 妤
59A5 tuǒ 妥
59A8 fāng,fáng 妨
59A9 wǔ 妩
59AA yù 妪
59AB guī 妫
59AC dù 妬
59AE nī 妮
59AF zhóu 妯
59B2 dá 妲
59B9 mèi 妹
59BA mò 妺
59BB qī,qì 妻
59BE qiè 妾
59C1 xǔ 姁
59C6 mǔ 姆
59CA zǐ 姊
59CB shǐ 始
59CD shān 姍
59D0 jiě 姐
59D1 gū 姑
59D2 sì 姒
59D3 xìng 姓
59D4 wēi,wěi 委
59D7 shān 姗
59D8 pīn 姘
59D9 rèn 姙
59DA yáo 姚
59DC jiāng 姜
59DD shū 姝
59DE jí 姞
59E3 jiāo 姣
59E5 lǎo,mǔ 姥
59E6 jiān 姦
59E8 yí 姨
59EA zhí 姪
59EC jī 姬
59EE héng 姮
59F1 kuā 姱
59F8 yán 姸
59F9 chà 姹
59FB yīn 姻
59FD guǐ 姽
59FF zī 姿
5A00 sōng 娀
5A01 wēi 威
5A03 wá 娃
5A04 lóu 娄
5A05 yà 娅
5A06 ráo,rǎo 娆
5A07 jiāo 娇
5A08 luán 娈
5A09 pīng 娉
5A0C lǐ 娌
5A11 suō 娑
5A12 méi 娒
5A13 wěi 娓
5A16 chuò 娖
5A18 niáng 娘
5A1C nà,nuó 娜
5A1F juān 娟
5A20 shēn 娠
5A23 dì 娣
5A25 é 娥
5A29 miǎn,wǎn 娩
5A2C wǔ 娬
5A2D āi,xī 娭
5A31 yú 娱
5A32 wā 娲
5A34 xián 娴
5A36 qǔ 娶
5A3C chāng 娼
5A3F ē 娿
5A40 ē 婀
5A41 lóu 婁
5A46 pó 婆
5A49 wǎn 婉
5A4A biǎo 婊
5A55 jié 婕
5A57 ní 婗
5A5A hūn 婚
5A5E xìng 婞
5A62 bì 婢
5A63 yīn 婣
5A66 fù 婦
5A67 jìng 婧
5A6A lán 婪
5A6C yín 婬
5A6D yà 婭
5A73 huà 婳
5A74 yīng 婴
5A75 chán 婵
5A76 shěn 婶
5A77 tíng 婷
5A7A wù 婺
5A7C chuò,ruò 婼
5A7E tōu 婾
5A7F xù 婿
5A92 méi 媒
5A95 ān 媕
5A96 yīng 媖
5A9A mèi 媚
5A9B yuán,yuàn 媛
5A9F xiè 媟
5AA2 mào 媢
5AA7 wā 媧
5AAA ǎo 媪
5AAD xū 媭
5AAF guī 媯
5AB2 pì 媲
5AB3 xí 媳
5AB5 yìng 媵
5AB8 chī 媸
5ABE gòu 媾
5ABF kuì 媿
5AC1 jià 嫁
5AC2 sǎo 嫂
5AC4 yuán 嫄
5AC9 jí 嫉
5ACB niǎo 嫋
5ACC xián 嫌
5ACF láng 嫏
5AD2 ài 嫒
5AD4 pín 嫔
5AD5 yì 嫕
5AD6 piáo 嫖
5AD7 yù 嫗
5AD8 léi 嫘
5ADA mān,màn 嫚
5ADB yī 嫛
5ADC zhāng 嫜
5AE0 lí 嫠
5AE1 dí 嫡
5AE3 yān 嫣
5AE6 cháng 嫦
5AE9 nèn 嫩
5AEA lào 嫪
5AEB mó 嫫
5AF1 qiáng 嫱
5AF3 piè 嫳
5AF5 wǔ 嫵
5AFA xián 嫺
5AFD liáo 嫽
5AFF huà 嫿
5B00 guī 嬀
5B08 ráo,rǎo 嬈
5B09 xī 嬉
5B0B chán 嬋
5B0C jiāo 嬌
5B0E fàn 嬎
5B16 bì 嬖
5B17 shàn 嬗
5B19 qiáng 嬙
5B1B huán 嬛
5B21 ài 嬡
5B2A pín 嬪
5B2D nǎi 嬭
5B32 niǎo 嬲
5B34 yíng 嬴
5B37 mā 嬷
5B38 shěn 嬸
5B3E lǎn 嬾
5B40 shuāng 孀
5B43 niáng 孃
5B4C luán 孌
5B50 zǐ 子
5B51 jié 孑
5B53 jué 孓
5B54 kǒng 孔
5B55 yùn 孕
5B56 mā 孖
5B57 zì 字
5B58 cún 存
5B59 sūn 孙
5B5A fú 孚
5B5B bèi,bó 孛
5B5C zī 孜
5B5D xiào 孝
5B5F mèng 孟
5B62 bāo 孢
5B63 jì 季
5B64 gū 孤
5B65 nú 孥
5B66 xué 学
5B69 hái 孩
5B6A luán 孪
5B6B sūn 孫
5B6C nāo 孬
5B70 shú 孰
5B71 càn,chán 孱
5B73 zī 孳
5B75 fū 孵
5B78 xué 學
5B7A rú 孺
5B7C niè 孼
5B7D niè 孽
5B7F luán 孿
5B81 níng,nìng 宁
5B82 rǒng 宂
5B83 tā 它
5B84 guǐ 宄
5B85 zhái 宅
5B87 yǔ 宇
5B88 shǒu 守
5B89 ān 安
5B8B sòng 宋
5B8C wán 完
5B8F hóng 宏
5B93 mì 宓
5B95 dàng 宕
5B97 zōng 宗
5B98 guān 官
5B99 zhòu 宙
5B9A dìng 定
5B9B wǎn 宛
5B9C yí 宜
5B9D bǎo 宝
5B9E shí 实
5BA0 chǒng 宠
5BA1 shěn 审
5BA2 kè 客
5BA3 xuān 宣
5BA4 shì 室
5BA5 yòu 宥
5BA6 huàn 宦
5BA7 yí 宧
5BAA xiàn 宪
5BAB gōng 宫
5BAC chéng 宬
5BAD qún 宭
5BB0 zǎi 宰
5BB3 hài 害
5BB4 yàn 宴
5BB5 xiāo 宵
5BB6 jiā,jia,jie 家
5BB8 chén 宸
5BB9 róng 容
5BBD kuān 宽
5BBE bīn 宾
5BBF sù,xiǔ,xiù 宿
5BC0 cǎi,cài 寀
5BC2 jì 寂
5BC3 yuān 寃
5BC4 jì 寄
5BC5 yín 寅
5BC6 mì 密
5BC7 kòu 寇
5BCC fù 富
5BD0 mèi 寐
5BD2 hán 寒
5BD3 yù 寓
5BD4 shí 寔
5BD6 jìn 寖
5BD8 zhì 寘
5BDB kuān 寛
5BDD qǐn 寝
5BDE mò 寞
5BDF chá 察
5BE1 guǎ 寡
5BE2 qǐn 寢
5BE4 wù 寤
5BE5 liáo 寥
5BE6 shí 實
5BE7 níng,nìng 寧
5BE8 zhài 寨
5BE9 shěn 審
5BEB xiě,xiè 寫
5BEE liáo 寮
5BEF jùn 寯
5BF0 huán 寰
5BF1 yì 寱
5BF3 bǎo 寳
5BF5 chǒng 寵
5BF6 bǎo 寶
5BF8 cùn 寸
5BF9 duì 对
5BFA sì 寺
5BFB xín,xún 寻
5BFC dǎo 导
5BFF shòu 寿
5C01 fēng 封
5C04 shè 射
5C05 kè,kēi 尅
5C06 jiāng,jiàng,qiāng 将
5C07 jiāng,jiàng,qiāng 將
5C08 zhuān 專
5C09 wèi,yù 尉
5C0A zūn 尊
5C0B xín,xún 尋
5C0D duì 對
5C0E dǎo 導
5C0F xiǎo 小
5C11 shǎo,shào 少
5C14 ěr 尔
5C15 gǎ 尕
5C16 jiān 尖
5C17 shū 尗
5C18 chén 尘
5C1A shàng 尚
5C1C gá 尜
5C1D cháng 尝
5C1F xiǎn 尟
5C20 xiǎn 尠
5C22 yóu 尢
5C24 yóu 尤
5C25 liào 尥
5C27 yáo 尧
5C28 máng,méng 尨
5C2C gà 尬
5C31 jiù 就
5C32 gān 尲
5C34 gān 尴
5C35 tuí 尵
5C37 gān 尷
5C38 shī 尸
5C39 yǐn 尹
5C3A chě,chǐ 尺
5C3B kāo 尻
5C3C ní 尼
5C3D jǐn,jìn 尽
5C3E wěi,yǐ 尾
5C3F niào,suī 尿
5C40 jú 局
5C41 pì 屁
5C42 céng 层
5C43 xì 屃
5C44 bī 屄
5C45 jū 居
5C46 jiè 屆
5C48 qū 屈
5C49 tì 屉
5C4A jiè 届
5C4B wū 屋
5C4C diǎo 屌
5C4D shī 屍
5C4E shǐ 屎
5C4F bǐng,píng 屏
5C50 jī 屐
5C51 xiè 屑
5C55 zhǎn 展
5C59 ē 屙
5C5C tì 屜
5C5E shǔ,zhǔ 属
5C5F xiè 屟
5C60 tú 屠
5C61 lǚ 屡
5C62 lǚ 屢
5C63 xǐ 屣
5C64 céng 層
5C65 lǚ 履
5C66 jù 屦
5C67 xiè 屧
5C68 jù 屨
5C69 juē 屩
5C6C shǔ,zhǔ 屬
5C6D xì 屭
5C6F tún,zhūn 屯
5C71 shān 山
5C79 gē,yì 屹
5C7A qǐ 屺
5C7C wù 屼
5C7E shēn 屾
5C7F yǔ 屿
5C81 suì 岁
5C82 qǐ 岂
5C88 yá 岈
5C8C jí 岌
5C8D qiān 岍
5C90 qí 岐
5C91 cén 岑
5C94 chà 岔
5C96 qū 岖
5C97 gāng,gǎng 岗
5C98 xiàn 岘
5C99 ào 岙
5C9A lán 岚
5C9B dǎo 岛
5C9C bā 岜
5C9E zuò 岞
5CA1 gāng 岡
5CA2 kě 岢
5CA3 gǒu 岣
5CA7 tiáo 岧
5CA9 yán 岩
5CAB xiù 岫
5CAC jiǎ 岬
5CAD lǐng 岭
5CB1 dài 岱
5CB3 yuè 岳
5CB5 hù 岵
5CB7 mín 岷
5CB8 àn 岸
5CB9 tiáo 岹
5CBD dōng 岽
5CBE hàn 岾
5CBF kuī 岿
5CC1 mǎo 峁
5CC2 tóng 峂
5CC3 xué 峃
5CC4 yì 峄
5CC7 bā 峇
5CCB xún 峋
5CD2 dòng,tóng 峒
5CD5 shí 峕
5CD9 shì,zhì 峙
5CE1 xiá 峡
5CE3 yáo 峣
5CE4 jiào,qiáo 峤
5CE5 zhēng 峥
5CE6 luán 峦
5CE7 jiāo 峧
5CE8 é 峨
5CE9 é 峩
5CEA yù 峪
5CEC bū 峬
5CED qiào 峭
5CEF fēng 峯
5CF0 fēng 峰
5CF1 náo 峱
5CF6 dǎo 島
5CFB jùn 峻
5CFD xiá 峽
5D00 làng 崀
5D01 kàn 崁
5D02 láo 崂
5D03 lái 崃
5D04 xiǎn 崄
5D06 kōng 崆
5D07 chóng 崇
5D0D lái 崍
5D0E qí 崎
5D11 kūn 崑
5D12 zú 崒
5D14 cuī 崔
5D15 yá 崕
5D16 yá 崖
5D17 gǎng 崗
5D19 lún 崙
5D1A léng 崚
5D1B jué 崛
5D1E guō 崞
5D1F yín 崟
5D24 xiáo 崤
5D26 yān 崦
5D27 sōng 崧
5D29 bēng 崩
5D2A zú 崪
5D2C dōng 崬
5D2D zhǎn 崭
5D2E gù 崮
5D2F yín 崯
5D34 wǎi,wēi 崴
5D3D zǎi 崽
5D47 jī 嵇
5D4A shèng 嵊
5D4B méi 嵋
5D4C kàn,qiàn 嵌
5D4E yú 嵎
5D52 yán 嵒
5D56 chá 嵖
5D57 suì 嵗
5D58 róng 嵘
5D5A qīn 嵚
5D5B yú 嵛
5D5D lǒu 嵝
5D69 sōng 嵩
5D6B zī 嵫
5D6C wéi 嵬
5D6F cuó 嵯
5D72 niè 嵲
5D7D dié 嵽
5D81 lǒu 嶁
5D82 zhàng 嶂
5D85 áo 嶅
5D87 qū 嶇
5D8D xí 嶍
5D92 céng 嶒
5D93 bō 嶓
5D95 jiāo 嶕
5D97 láo 嶗
5D99 lín 嶙
5D9D dèng 嶝
5DA0 jiào,qiáo 嶠
5DA2 yáo 嶢
5DA7 yì 嶧
5DA8 xué 嶨
5DA9 náo 嶩
5DAE xiǎn 嶮
5DB0 xiè 嶰
5DB2 xī 嶲
5DB4 ào 嶴
5DB7 yí 嶷
5DB8 róng 嶸
5DBA lǐng 嶺
5DBC yǔ 嶼
5DBD yuè 嶽
5DC5 diān 巅
5DC7 xī 巇
5DC9 chán 巉
5DCB kuī 巋
5DCD wēi 巍
5DCE náo 巎
5DD2 luán 巒
5DD6 yán 巖
5DD8 yǎn 巘
5DDD chuān 川
5DDE zhōu 州
5DE0 jīng 巠
5DE1 xún 巡
5DE2 cháo 巢
5DE5 gōng 工
5DE6 zuǒ 左
5DE7 qiǎo 巧
5DE8 jù 巨
5DE9 gǒng 巩
5DEB wū 巫
5DEE chā,chà,chāi,chài,cī 差
5DEF qiú 巯
5DF0 qiú 巰
5DF1 jǐ 己
5DF2 sì,yǐ 已
5DF3 sì 巳
5DF4 bā 巴
5DF5 zhī 巵
5DF7 hàng,xiàng 巷
5DFD xùn 巽
5DFE jīn 巾
5E00 zā 帀
5E01 bì 币
5E02 fú,shì 市
5E03 bù 布
5E05 shuài 帅
5E06 fān 帆
5E08 shī 师
5E0A pà 帊
5E0B zhǐ 帋
5E0C xī 希
5E0F wéi 帏
5E10 zhàng 帐
5E11 tǎng 帑
5E14 pèi 帔
5E15 pà 帕
5E16 tiē,tiě,tiè 帖
5E18 lián 帘
5E19 zhì 帙
5E1A zhǒu 帚
5E1B bó 帛
5E1C zhì 帜
5E1D dì 帝
5E21 píng 帡
5E23 juǎn,juàn 帣
5E25 shuài 帥
5E26 dài 带
5E27 zhèng 帧
5E28 shuì 帨
5E29 qiào 帩
5E2B shī 師
5E2C qún 帬
5E2D xí 席
5E2E bāng 帮
5E31 chóu,dào 帱
5E33 zhàng 帳
5E35 wān 帵
5E36 dài 帶
5E37 wéi 帷
5E38 cháng 常
5E3B zé 帻
5E3C guó 帼
5E3D mào 帽
5E42 mì 幂
5E43 wéi 幃
5E44 wò 幄
5E45 fú 幅
5E48 píng 幈
5E4C huǎng 幌
5E4E mì 幎
5E54 màn 幔
5E55 mù 幕
5E56 biāo 幖
5E57 guó 幗
5E5B zhàng 幛
5E5E fú 幞
5E5F zhì 幟
