博库  bo2 ku4   
罢国  ba4 guo2   
罢耗  ba4 hao4   
罢瘠  ba4 ji2   
罢尽  ba4 jin4   
罢劵  ba4 juan4   
罢倦  ba4 juan4   
罢困  ba4 kun4   
罢劳  ba4 lao2   
罢老  ba4 lao3   
罢羸  ba4 lei2   
罢垒  ba4 lei3   
罢吏  ba4 li4   
罢咧  ba4 lie3   
罢列  ba4 lie4   
罢癃  ba4 long2   
罢露  ba4 lu4   
罢潞  ba4 lu4   
罢马  ba4 ma3   
罢马不畏鞭箠  ba4 ma3 bu2 wei4 bian1 zhui1   
罢甿  ba4 meng2   
罢民  ba4 min2   
罢牛  ba4 niu2   
罢驽  ba4 nu2   
罢女  ba4 nv3   
罢懦  ba4 nuo4   
罢弃  ba4 qi4   
罢钱  ba4 qian2   
罢遣  ba4 qian3   
罢怯  ba4 qie4   
罢去  ba4 qu4   
罢人  ba4 ren2   
罢任  ba4 ren4   
罢软  ba4 ruan3   
罢弱  ba4 ruo4   
罢散  ba4 san4   
罢社  ba4 she4   
罢省  ba4 sheng3   
罢士  ba4 shi4   
罢收  ba4 shou1   
罢俗  ba4 su2   
罢退  ba4 tui4   
罢闲  ba4 xian2   
罢相  ba4 xiang1   
罢谢  ba4 xie4   
罢朽  ba4 xiu3   
罢需  ba4 xu1   
罢学  ba4 xue2   
罢亚  ba4 ya4   
罢宴  ba4 yan4   
罢业  ba4 ye4   
罢议  ba4 yi4   
罢于奔命  ba4 yu2 ben1 ming4   
罢於奔命  ba4 yu1 ben1 ming4   
罢瘵  ba4 zhai4   
罢战  ba4 zhan4   
罢政  ba4 zheng4   
罢直  ba4 zhi2   
罢止  ba4 zhi3   
罢秩  ba4 zhi4   
罢逐  ba4 zhu2   
罢箸  ba4 zhu4   
跁跒  pa2 qia3   
鲅鲅  ba4 ba4   
霸岸  ba4 an4   
霸柄  ba4 bing3   
霸才  ba4 cai2   
霸朝  ba4 chao2   
霸臣  ba4 chen2   
霸城  ba4 cheng2   
霸城门  ba4 cheng2 men2   
霸池  ba4 chi2   
霸持  ba4 chi2   
霸楚  ba4 chu3   
霸川  ba4 chuan1   
霸代日  ba4 dai4 ri4   
霸道横行  ba4 dao4 heng2 xing2   
霸德  ba4 de2   
霸杜  ba4 du4   
霸短  ba4 duan3   
霸夫  ba4 fu1   
霸府  ba4 fu3   
霸功  ba4 gong1   
霸官  ba4 guan1   
霸轨  ba4 gui3   
霸国  ba4 guo2   
霸迹  ba4 ji4   
霸衿  ba4 jin1   
霸据  ba4 ju4   
霸揽  ba4 lan5   
霸僚  ba4 liao2   
霸陵  ba4 ling2   
霸陵岸  ba4 ling2 an4   
霸陵桥  ba4 ling2 qiao2   
霸陵伤别  ba4 ling2 shang1 bie2   
霸陵醉尉  ba4 ling2 zui4 wei4   
霸留  ba4 liu2   
霸略  ba4 lve4   
霸论  ba4 lun4   
霸蛮  ba4 man2   
霸门  ba4 men2   
霸强  ba4 qiang2   
霸桥  ba4 qiao2   
霸儒  ba4 ru2   
霸闰之朝  ba4 run4 zhi1 chao2   
霸山  ba4 shan1   
霸上  ba4 shang4   
霸上戏  ba4 shang4 xi4   
霸史  ba4 shi3   
霸世  ba4 shi4   
霸事  ba4 shi4   
霸说  ba4 shuo1   
霸统  ba4 tong3   
霸头  ba4 tou2   
霸图  ba4 tu2   
霸王风月  ba4 wang2 feng1 yue4   
霸王厅  ba4 wang2 ting1   
霸王卸甲  ba4 wang2 xie4 jia3   
霸王之资  ba4 wang2 zhi1 zi1   
霸习  ba4 xi2   
霸下  ba4 xia4   
霸相  ba4 xiang1   
霸心  ba4 xin1   
霸绪  ba4 xu4   
霸政  ba4 zheng4   
霸祖  ba4 zu3   
灞浐  ba4 chan3   
灞池  ba4 chi2   
灞陵  ba4 ling2   
灞桥  ba4 qiao2   
灞上  ba4 shang4   
灞亭  ba4 ting2   
欛柄  ba4 bing3   
掰谎  bai1 huang3   
掰开揉碎  bai1 kai1 rou2 sui4   
掰脸  bai1 lian3   
掰腕子  bai1 wan4 zi5   
掰文儿  bai1 wen2 er2   
白艾  bai2 ai4   
白暗  bai2 an4   
白八  bai2 ba1   
白菝葜  bai2 ba2 qia1   
白白朱朱  bai2 bai2 zhu1 zhu1   
白板天子  bai2 ban3 tian1 zi3   
白版侯  bai2 ban3 hou2   
白版天子  bai2 ban3 tian1 zi3   
白半  bai2 ban4   
白榜  bai2 bang3   
白牓  bai2 pang1   
白棒  bai2 bang4   
白棓  bai2 pou3   
白报  bai2 bao4   
白豹  bai2 bao4   
白贝罗定律  bai2 bei4 luo2 ding4 lv4   
白背  bai2 bei4   
白贲  bai2 ben1   
白本  bai2 ben3   
白鼻  bai2 bi2   
白鼻騧  bai2 bi2 gua1   
白鼻子  bai2 bi2 zi5   
白笔  bai2 bi3   
白璧  bai2 bi4   
白璧青蝇  bai2 bi4 qing1 ying2   
白璧三献  bai2 bi4 san1 xian4   
白璧瑕  bai2 bi4 xia2   
白辨  bai2 bian4   
白兵  bai2 bing1   
白饼  bai2 bing5   
白波  bai2 bo1   
白捕  bai2 bu3   
白不呲咧  bai2 bu4 ci1 lie3   
白部  bai2 bu4   
白彩  bai2 cai3   
白参  bai2 shen1   
白惨惨  bai2 can3 can3   
白灿  bai2 can4   
白灿灿  bai2 can4 can4   
白粲  bai2 can4   
白苍苍  bai2 cang1 cang1   
白藏  bai2 cang2   
白草  bai2 cao3   
白草黄云  bai2 cao3 huang2 yun2   
白槎  bai2 cha2   
白茝  bai2 zhi3   
白昌  bai2 chang1   
白氅  bai2 chang3   
白嘲  bai2 chao2   
白车  bai2 che1   
白扯  bai2 che3   
白沉  bai2 chen2   
白澄浆  bai2 cheng2 jiang1   
白吃干饭  bai2 chi1 gan1 fan4   
白吃猴  bai2 chi1 hou2   
白螭  bai2 chi1   
白齿青眉  bai2 chi3 qing1 mei2   
白崇禧  bai2 chong2 xi3   
白紬  bai2 chou1   
白丑  bai2 chou3   
白楮  bai2 chu3   
白槌  bai2 chui2   
白刺  bai2 ci4   
白从  bai2 cong2   
白毳  bai2 cui4   
白翠  bai2 cui4   
白醝  bai2 cuo3   
白鹾  bai2 cuo2   
白荅  bai2 ta4   
白打  bai2 da3   
白大  bai2 da4   
白袋  bai2 dai4   
白丹  bai2 dan1   
白单衣  bai2 dan1 yi1   
白啖  bai2 dan4   
白当  bai2 dang1   
白刀子进红刀子出  bai2 dao1 zi5 jin4 hong2 dao1 zi5 chu1   
白稻  bai2 dao4   
白纛  bai2 dao4   
白登之围  bai2 deng1 zhi1 wei2   
白邓邓  bai2 deng4 deng4   
白狄  bai2 di2   
白氐  bai2 di3   
白地将军  bai2 di4 jiang1 jun1   
白地款  bai2 di4 kuan3   
白地栗  bai2 di4 li4   
白地明光锦  bai2 di4 ming2 guang1 jin3   
白地钱  bai2 di4 qian2   
白地文  bai2 di4 wen2   
白帝  bai2 di4   
白帝仓  bai2 di4 cang1   
白帝子  bai2 di4 zi3   
白蔕  bai2 di4   
白颠  bai2 dian1   
白点风  bai2 dian3 feng1   
白藋同心  bai2 di2 tong2 xin1   
白迭  bai2 die2   
白迭布  bai2 die2 bu4   
白迭巾  bai2 die2 jin1   
白牒  bai2 die2   
白丁俗客  bai2 ding1 su2 ke4   
白丁香  bai2 ding1 xiang1   
白冬瓜  bai2 dong1 gua1   
白豆  bai2 dou4   
白豆蔻  bai2 dou4 kou4   
白脰  bai2 dou4   
白犊  bai2 du2   
白笃耨  bai2 du3 nou4   
白端  bai2 duan1   
白夺  bai2 duo2   
白堕  bai2 duo4   
白俄  bai2 e2   
白俄罗斯人  bai2 e2 luo2 si1 ren2   
白额  bai2 e2   
白额侯  bai2 e2 hou2   
白额虎  bai2 e2 hu3   
白额将军  bai2 e2 jiang1 jun1   
白额驹  bai2 e2 ju1   
白萼仙  bai2 e4 xian1   
白耳  bai2 er3   
白耳龙  bai2 er3 long2   
白发苍颜  bai2 fa4 cang1 yan2   
白发丹心  bai2 fa4 dan1 xin1   
白发红颜  bai2 fa4 hong2 yan2   
白发郎官  bai2 fa4 lang2 guan1   
白发婆娑  bai2 fa4 po2 suo1   
白发千丈  bai2 fa4 qian1 zhang4   
白发青衫  bai2 fa4 qing1 shan1   
白发相守  bai2 fa4 xiang1 shou3   
白发偕老  bai2 fa4 xie2 lao3   
白发鱼  bai2 fa4 yu2   
白发朱颜  bai2 fa4 zhu1 yan2   
白法  bai2 fa3   
白帆  bai2 fan1   
白幡  bai2 fan1   
白矾楼  bai2 fan2 lou2   
白樊楼  bai2 fan2 lou2   
白薠  bai2 fan2   
白饭青刍  bai2 fan4 qing1 chu2   
白房子  bai2 fang2 zi5   
白舫  bai2 fang3   
白匪  bai2 fei3   
白费口舌  bai2 fei4 kou3 she2   
白费心机  bai2 fei4 xin1 ji1   
白分  bai2 fen1   
白纷  bai2 fen1   
白坟  bai2 fen2   
白凤  bai2 feng4   
白凤皇  bai2 feng4 huang2   
白凤凰  bai2 feng4 huang2   
白凤鸣  bai2 feng4 ming2   
白凫  bai2 fu2   
白拂  bai2 fu2   
白服  bai2 fu2   
白洑  bai2 fu4   
白符  bai2 fu2   
白脯  bai2 pu2   
白附  bai2 fu4   
白坿  bai2 fu4   
白傅  bai2 fu4   
白缚  bai2 fu4   
白腹  bai2 fu4   
白盖  bai2 gai4   
白杆兵  bai2 gan3 bing1   
白杆军  bai2 gan3 jun1   
白高帽  bai2 gao1 mao4   
白缟  bai2 gao3   
白鸽标  bai2 ge1 biao1   
白鸽票  bai2 ge1 piao4   
白阁  bai2 ge2   
白葛  bai2 ge3   
白根  bai2 gen1   
白公堤  bai2 gong1 di1   
白公馆  bai2 gong1 guan3   
白公桧  bai2 gong1 gui4   
白狗  bai2 gou3   
白狗国  bai2 gou3 guo2   
白狗子  bai2 gou3 zi3   
白骨露野  bai2 gu3 lu4 ye3   
白骨再肉  bai2 gu3 zai4 rou4   
白鹄  bai2 hu2   
白鼓钉  bai2 gu3 ding4   
白瓜  bai2 gua1   
白冠  bai2 guan4   
白冠厘缨  bai2 guan4 li2 ying1   
白冠牦缨  bai2 guan4 mao2 ying1   
白管  bai2 guan3   
白圭  bai2 gui1   
白圭夫子  bai2 gui1 fu1 zi3   
白圭可磨  bai2 gui1 ke3 mo2   
白圭无玷  bai2 gui1 wu2 dian4   
白圭之玷  bai2 gui1 zhi1 dian4   
白规  bai2 gui1   
白珪  bai2 gui1   
白鬼  bai2 gui3   
白过  bai2 guo4   
白海  bai2 hai3   
白蚶  bai2 han1   
白汉稻  bai2 han4 dao4   
白汗  bai2 han4   
白翰  bai2 han4   
白蒿  bai2 hao1   
白毫  bai2 hao2   
白毫光  bai2 hao2 guang1   
白毫相  bai2 hao2 xiang1   
白毫之赐  bai2 hao2 zhi1 ci4   
白毫子  bai2 hao2 zi3   
白豪  bai2 hao2   
白浩浩  bai2 hao4 hao4   
白耗  bai2 hao4   
白合  bai2 he2   
白合道者  bai2 he2 dao4 zhe3   
白河  bai2 he2   
白鹤茶  bai2 he4 cha2   
白鹤峰  bai2 he4 feng1   
白鹤晾翅  bai2 he4 liang4 chi4   
白鹤翎  bai2 he4 ling2   
白鹤卧雪  bai2 he4 wo4 xue3   
白鹤仙  bai2 he4 xian1   
白鹤子  bai2 he4 zi3   
白黑  bai2 hei1   
白黑不分  bai2 hei1 bu4 fen1   
白黑颠倒  bai2 hei1 dian1 dao3   
白黑分明  bai2 hei1 fen1 ming2   
白黑众  bai2 hei1 zhong4   
白珩  bai2 heng2   
白虹  bai2 hong2   
白虹贯日  bai2 hong2 guan4 ri4   
白澒  bai2 hong4   
白侯  bai2 hou2   
白后  bai2 hou4   
白狐  bai2 hu2   
白胡阑套住个迎霜兔  bai2 hu2 lan2 tao4 zhu4 ge4 ying2 shuang1 tu4   
白縠  bai2 hu2   
白虎车  bai2 hu3 che1   
白虎殿  bai2 hu3 dian4   
白虎幡  bai2 hu3 fan1   
白虎复夷  bai2 hu3 fu4 yi2   
白虎观  bai2 hu3 guan1   
白虎门  bai2 hu3 men2   
白虎阙  bai2 hu3 que4   
白虎汤  bai2 hu3 tang1   
白虎王  bai2 hu3 wang2   
白虎星  bai2 hu3 xing1   
白虎阵  bai2 hu3 zhen4   
白虎樽  bai2 hu3 zun1   
白琥  bai2 hu3   
白户  bai2 hu4   
白花骆  bai2 hua1 luo4   
白花心血  bai2 hua1 xin1 xue4   
白华  bai2 hua2   
白华华  bai2 hua2 hua2   
白华之怨  bai2 hua2 zhi1 yuan4   
白哗哗  bai2 hua1 hua1   
白画  bai2 hua4   
白话八股  bai2 hua4 ba1 gu3   
白话戏  bai2 hua4 xi4   
白环  bai2 huan2   
白麾  bai2 hui1   
白彗  bai2 hui4   
白货  bai2 huo4   
白芨浆  bai2 ji1 jiang1   
白鸡  bai2 ji1   
白鸡梦  bai2 ji1 meng4   
白鸡年  bai2 ji1 nian2   
白鸡之梦  bai2 ji1 zhi1 meng4   
白及  bai2 ji2   
白棘  bai2 ji2   
白籍  bai2 ji2   
白记  bai2 ji4   
白罽裘  bai2 ji4 qiu2   
白骥  bai2 ji4   
白夹  bai2 jia2   
白夾  bai2 jia2   
白夾蓝衫  bai2 jia2 lan2 shan1   
白袷蓝衫  bai2 qia1 lan2 shan1   
白鵊鸟  bai2 jia2 niao3   
白甲军  bai2 jia3 jun1   
白间  bai2 jian1   
白检  bai2 jian3   
白简  bai2 jian3   
白蠒乌丝  bai2 jian3 wu1 si1   
白见  bai2 jian4   
白涧  bai2 jian4   
白僵僵  bai2 jiang1 jiang1   
白殭  bai2 jiang1   
白蒋  bai2 jiang3   
白胶  bai2 jiao1   
白胶香  bai2 jiao1 xiang1   
白蕉衫  bai2 jiao1 shan1   
白角  bai2 jiao3   
白角扇  bai2 jiao3 shan4   
白皎皎  bai2 jiao3 jiao3   
白脚  bai2 jiao3   
白教  bai2 jiao4   
白接  bai2 jie1   
白接篱  bai2 jie1 li2   
白劫  bai2 jie2   
白截肪  bai2 jie2 fang2   
白巾  bai2 jin1   
白金三品  bai2 jin1 san1 pin3   
白金砂  bai2 jin1 sha1   
白金龙  bai2 jin1 long2   
白经  bai2 jing1   
白茎  bai2 jing1   
白荆  bai2 jing1   
白粳  bai2 jing1   
白精  bai2 jing1   
白颈  bai2 jing3   
白颈乌  bai2 jing3 wu1   
白景  bai2 jing3   
白浄  bai2 jing4   
白鸠  bai2 jiu1   
白驹  bai2 ju1   
白驹过郄  bai2 ju1 guo4 xi4   
白驹过郤  bai2 ju1 guo4 xi4   
白驹空谷  bai2 ju1 kong1 gu3   
白剧  bai2 ju4   
白绢  bai2 juan4   
白绢斜封  bai2 juan4 xie2 feng1   
白决  bai2 jue2   
白嚼蛆  bai2 jiao2 qu1   
白鷢  bai2 jue2   
白军  bai2 jun1   
白君  bai2 jun1   
白菌  bai2 jun1   
白壳  bai2 ke2   
白客  bai2 ke4   
白空  bai2 kong1   
白口  bai2 kou3   
白纩  bai2 kuang4   
白栝  bai2 kuo4   
白拉  bai2 la1   
白剌擦  bai2 la2 ca1   
白腊明经  bai2 la4 ming2 jing1   
白蜡明经  bai2 la4 ming2 jing1   
白辣辣  bai2 la4 la4   
白镴  bai2 la4   
白赖  bai2 lai4   
白襕  bai2 lan2   
白狼  bai2 lang2   
白朗  bai2 lang3   
白浪  bai2 lang4   
白浪掀天  bai2 lang4 xian1 tian1   
白醪  bai2 lao2   
白老  bai2 lao3   
白楞  bai2 leng5   
白愣  bai2 leng4   
白醴  bai2 li3   
白厉厉  bai2 li4 li4   
白莲  bai2 lian2   
白莲池  bai2 lian2 chi2   
白莲会  bai2 lian2 hui4   
白莲社  bai2 lian2 she4   
白蔹  bai2 lian3   
白练裙  bai2 lian4 qun2   
白练衣  bai2 lian4 yi1   
白凉衫  bai2 liang2 shan1   
白粮  bai2 liang2   
白粱  bai2 liang2   
白粱粟  bai2 liang2 su4   
白辽辽  bai2 liao2 liao2   
白镣  bai2 liao4   
白了了  bai2 liao3 le5   
白鳞  bai2 lin2   
白驎  bai2 lin2   
白麟  bai2 lin2   
白灵砂  bai2 ling2 sha1   
白泠泠  bai2 ling2 ling2   
白陵  bai2 ling2   
白绫  bai2 ling2   
白翎  bai2 ling2   
白令海  bai2 ling4 hai3   
白令海峡  bai2 ling4 hai3 xia2   
白龙  bai2 long2   
白龙堆  bai2 long2 dui1   
白龙臛  bai2 long2 huo4   
白龙微服  bai2 long2 wei1 fu2   
白龙鱼服  bai2 long2 yu2 fu2   
白楼  bai2 lou2   
白楼亭  bai2 lou2 ting2   
白炉子  bai2 lu2 zi5   
白虏  bai2 lu3   
白辂  bai2 lu4   
白鹿  bai2 lu4   
白鹿币  bai2 lu4 bi4   
白鹿车  bai2 lu4 che1   
白鹿洞  bai2 lu4 dong4   
白鹿洞书院  bai2 lu4 dong4 shu1 yuan4   
白鹿巾  bai2 lu4 jin1   
白鹿皮币  bai2 lu4 pi2 bi4   
白鹿原  bai2 lu4 yuan2   
白鹿纸  bai2 lu4 zhi3   
白路  bai2 lu4   
白鹭缞  bai2 lu4 shuai1   
白鹭纕  bai2 lu4 xiang1   
白鹭簔  bai2 lu4 suo1   
白鹭转花  bai2 lu4 zhuan3 hua1   
白鸾绫  bai2 luan2 ling2   
白鸾尾  bai2 luan2 wei3   
白纶  bai2 lun2   
白论  bai2 lun4   
白萝门书  bai2 luo2 men2 shu1   
白骆  bai2 luo4   
白落  bai2 luo4   
白麻  bai2 ma2   
白麻书  bai2 ma2 shu1   
白麻纸  bai2 ma2 zhi3   
白麻子  bai2 ma2 zi5   
白马  bai2 ma3   
白马长史  bai2 ma3 zhang3 shi3   
白马氐  bai2 ma3 di3   
白马津  bai2 ma3 jin1   
白马清流  bai2 ma3 qing1 liu2   
白马三郎  bai2 ma3 san1 lang2   
白马生  bai2 ma3 sheng1   
白马寺  bai2 ma3 si4   
白马素车白马王子  bai2 ma3 su4 che1 bai2 ma3 wang2 zi3   
白马小儿  bai2 ma3 xiao3 er2   
白蚂蚁  bai2 ma3 yi3   
白麦  bai2 mai4   
白脉  bai2 mai4   
白蛮  bai2 man2   
白漫漫  bai2 man4 man4   
白漭漭  bai2 mang3 mang3   
白毛  bai2 mao2   
白毛风  bai2 mao2 feng1   
白毛女  bai2 mao2 nv3   
白茅人  bai2 mao2 ren2   
白茅香  bai2 mao2 xiang1   
白旄  bai2 mao2   
白旄黄钺  bai2 mao2 huang2 yue4   
白髦  bai2 mao2   
白茆  bai2 mao2   
白眊  bai2 mei4   
白帽  bai2 mao4   
白没  bai2 mei2   
白眉  bai2 mei2   
白眉赤眼  bai2 mei2 chi4 yan3   
白眉神  bai2 mei2 shen2   
白梅  bai2 mei2   
白媒  bai2 mei2   
白门  bai2 men2   
白门楼  bai2 men2 lou2   
白濛濛  bai2 meng2 meng2   
白蒙  bai2 meng2   
白迷迷  bai2 mi2 mi2   
白蜜  bai2 mi4   
白绵  bai2 mian2   
白棉  bai2 mian2   
白面儿郎  bai2 mian4 er5 lang2   
白面馆  bai2 mian4 guan3   
白面虎  bai2 mian4 hu3   
白面客  bai2 mian4 ke4   
白面郎  bai2 mian4 lang2   
白面郎君  bai2 mian4 lang2 jun1   
白面儒冠  bai2 mian4 ru2 guan4   
白面儒生  bai2 mian4 ru2 sheng1   
白面生  bai2 mian4 sheng1   
白面书郎  bai2 mian4 shu1 lang2   
白蔑艇  bai2 mie4 ting3   
白民  bai2 min2   
白民国  bai2 min2 guo2   
白珉  bai2 min2   
白明日  bai2 ming2 ri4   
白磨嘴皮  bai2 mo2 zui3 pi2   
白漠  bai2 mo4   
白墨  bai2 mo4   
白牡  bai2 mu3   
白牡丹  bai2 mu3 dan1   
白木  bai2 mu4   
白幕  bai2 mu4   
白柰  bai2 nai4   
白嫩嫩  bai2 nen4 nen4   
白蜺  bai2 ni2   
白霓  bai2 ni2   
白腻  bai2 ni4   
白拈贼  bai2 nian1 zei2   
白念  bai2 nian4   
白鸟  bai2 niao3   
白糵  bai2 nie4   
白妞  bai2 niu1   
白牛  bai2 niu2   
白牛车  bai2 niu2 che1   
白弩  bai2 nu3   
白鸥  bai2 ou1   
白藕  bai2 ou3   
白袍  bai2 pao2   
白跑一趟  bai2 pao3 yi1 tang4   
白旆  bai2 pei4   
白篷船  bai2 peng2 chuan2   
白皮  bai2 pi2   
白醥  bai2 piao3   
白票  bai2 piao4   
白平  bai2 ping2   
白苹  bai2 ping2   
白苹洲  bai2 ping2 zhou1   
白萍  bai2 ping2   
白蘋洲  bai2 ping2 zhou1   
白酦  bai2 po1   
白婆  bai2 po2   
白破  bai2 po4   
白铺  bai2 pu1   
白蒲  bai2 pu2   
白朴  bai2 pu3   
白骐  bai2 qi2   
白骑  bai2 qi2   
白蕲  bai2 qi2   
白气  bai2 qi4   
白契  bai2 qi4   
白碛  bai2 qi4   
白帢  bai2 qia4   
白帢青衫  bai2 qia4 qing1 shan1   
白恰青衫  bai2 qia4 qing1 shan1   
白钱  bai2 qian2   
白锵  bai2 qiang1   
白镪  bai2 qiang3   
白亲  bai2 qin1   
白芩  bai2 qin2   
白青  bai2 qing1   
白虬  bai2 qiu2   
白酋  bai2 qiu2   
白梂  bai2 qiu2   
白裘  bai2 qiu2   
白渠  bai2 qu2   
白蕖  bai2 qu2   
白泉  bai2 quan2   
白犬  bai2 quan3   
白雀  bai2 que4   
白鹊  bai2 que4   
白穰  bai2 rang2   
白壤  bai2 rang3   
白仁  bai2 ren2   
白日飞升  bai2 ri4 fei1 sheng1   
白日飞昇  bai2 ri4 fei1 sheng1   
白日鬼  bai2 ri4 gui3   
白日青天  bai2 ri4 qing1 tian1   
白日上升  bai2 ri4 shang4 sheng1   
白日上昇  bai2 ri4 shang4 sheng1   
白日升天  bai2 ri4 sheng1 tian1   
白日昇天  bai2 ri4 sheng1 tian1   
白日说梦  bai2 ri4 shuo1 meng4   
白日绣衣  bai2 ri4 xiu4 yi1   
白日衣绣  bai2 ri4 yi1 xiu4   
白日贼  bai2 ri4 zei2   
白日作梦  bai2 ri4 zuo4 meng4   
白绒绒  bai2 rong2 rong2   
白茸茸  bai2 rong2 rong2   
白乳  bai2 ru3   
白乳头  bai2 ru3 tou2   
白桵  bai2 rui3   
白蕤  bai2 rui2   
白蒻  bai2 ruo4   
白毵毵  bai2 san1 san1   
白颡  bai2 sang3   
白色花  bai2 se4 hua1   
白色人种  bai2 se4 ren2 zhong3   
白色收入  bai2 se4 shou1 ru4   
白色油  bai2 se4 you2   
白森森  bai2 sen1 sen1   
白沙  bai2 sha1   
白沙堤  bai2 sha1 di1   
白沙龙  bai2 sha1 long2   
白沙山  bai2 sha1 shan1   
白沙在涅与之俱黑  bai2 sha1 zai4 nie4 yu3 zhi1 ju4 hei1   
白纱  bai2 sha1   
白纱帽  bai2 sha1 mao4   
白晒  bai2 shai4   
白山  bai2 shan1   
白山市  bai2 shan1 shi4   
白山水电站  bai2 shan1 shui3 dian4 zhan4   
白衫  bai2 shan1   
白衫儿  bai2 shan1 er2   
白膻  bai2 shan1   
白闪闪  bai2 shan3 shan3   
白扇  bai2 shan4   
白善  bai2 shan4   
白商素节  bai2 shang1 su4 jie2   
白裳  bai2 shang5   
白烧  bai2 shao1   
白虵  bai2 she2   
白蛇  bai2 she2   
白蛇传  bai2 she2 zhuan4   
白舍人行诗图  bai2 she3 ren2 xing2 shi1 tu2   
白社  bai2 she4   
白社客  bai2 she4 ke4   
白社人  bai2 she4 ren2   
白身  bai2 shen1   
白身人  bai2 shen1 ren2   
白渖  bai2 shen3   
白甚  bai2 shen4   
白蜃  bai2 shen4   
白蜃云  bai2 shen4 yun2   
白眚  bai2 sheng3   
白盛  bai2 sheng4   
白絁  bai2 shi1   
白石  bai2 shi2   
白石粲  bai2 shi2 can4   
白石道人  bai2 shi2 dao4 ren2   
白石道人歌曲  bai2 shi2 dao4 ren2 ge1 qu3   
白石飞仙  bai2 shi2 fei1 xian1   
白石烂  bai2 shi2 lan4   
白石郎  bai2 shi2 lang2   
白石生  bai2 shi2 sheng1   
白石仙  bai2 shi2 xian1   
白石先生  bai2 shi2 xian1 sheng1   
白石芝  bai2 shi2 zhi1   
白石脂  bai2 shi2 zhi1   
白实  bai2 shi2   
白矢  bai2 shi3   
白豕  bai2 shi3   
白士  bai2 shi4   
白氏长庆集  bai2 shi4 chang2 qing4 ji2   
白视  bai2 shi4   
白室  bai2 shi4   
白手成家  bai2 shou3 cheng2 jia1   
白手空拳  bai2 shou3 kong1 quan2   
白手兴家  bai2 shou3 xing4 jia1   
白首北面  bai2 shou3 bei3 mian4   
白首不渝  bai2 shou3 bu4 yu2   
白首黄童  bai2 shou3 huang2 tong2   
白首空归  bai2 shou3 kong1 gui1   
白首郎  bai2 shou3 lang2   
白首齐眉  bai2 shou3 qi2 mei2   
白首穷经  bai2 shou3 qiong2 jing1   
白首如新  bai2 shou3 ru2 xin1   
白首如新倾盖如故  bai2 shou3 ru2 xin1 qing1 gai4 ru2 gu4   
白首同归  bai2 shou3 tong2 gui1   
白首为功名  bai2 shou3 wei2 gong1 ming2   
白首为郎  bai2 shou3 wei2 lang2   
白首无成  bai2 shou3 wu2 cheng2   
白首相知  bai2 shou3 xiang1 zhi1   
白首相庄  bai2 shou3 xiang4 zhuang1   
白首一节  bai2 shou3 yi1 jie2   
白首之心  bai2 shou3 zhi1 xin1   
白兽  bai2 shou4   
白兽幡  bai2 shou4 fan1   
白兽门  bai2 shou4 men2   
白兽闼  bai2 shou4 ta4   
白兽樽  bai2 shou4 zun1   
白书  bai2 shu1   
白淑湘  bai2 shu1 xiang1   
白鼠  bai2 shu3   
白刷刷  bai2 shua1 shua1   
白霜霜  bai2 shuang1 shuang1   
白水鉴心  bai2 shui3 jian4 xin1   
白水盟心  bai2 shui3 meng2 xin1   
白水泥  bai2 shui3 ni2   
白水素女  bai2 shui3 su4 nv3   
白水真人  bai2 shui3 zhen1 ren2   
白丝  bai2 si1   
白厮打  bai2 si1 da3   
白厮赖  bai2 si1 lai4   
白松扇  bai2 song1 shan4   
白菘  bai2 song1   
白送  bai2 song4   
白叟  bai2 sou3   
白叟黄童  bai2 sou3 huang2 tong2   
白苏  bai2 su1   
白素  bai2 su4   
白宿  bai2 xiu3   
白鶽  bai2 sun3   
白塔  bai2 ta3   
白墖  bai2 ta3   
白獭髓  bai2 ta3 sui3   
白榻  bai2 ta4   
白台  bai2 tai2   
白檀  bai2 tan2   
白炭  bai2 tan4   
白饧  bai2 tang2   
白唐  bai2 tang2   
白棠  bai2 tang2   
白幍  bai2 tao1   
白陶  bai2 tao2   
白特  bai2 te4   
白藤  bai2 teng2   
白题  bai2 ti2   
白题舞  bai2 ti2 wu3   
白天见鬼  bai2 tian1 jian4 gui3   
白天寿  bai2 tian1 shou4   
白田  bai2 tian2   
白芀子  bai2 tiao2 zi3   
白迢迢  bai2 tiao2 tiao2   
白鲦  bai2 tiao2   
白鯈  bai2 tiao2   
白铁树  bai2 tie3 shu4   
白庭  bai2 ting2   
白庭砂  bai2 ting2 sha1   
白挺  bai2 ting3   
白梃  bai2 ting4   
白通帽  bai2 tong1 mao4   
白桐  bai2 tong2   
白铜堤  bai2 tong2 di1   
白铜鞮  bai2 tong2 di1   
白铜蹄  bai2 tong2 ti2   
白头不终  bai2 tou2 bu4 zhong1   
白头达  bai2 tou2 da2   
白头到老  bai2 tou2 dao4 lao3   
白头迭雪  bai2 tou2 die2 xue3   
白头叠雪  bai2 tou2 die2 xue3   
白头蹀跇  bai2 tou2 die2 yi4   
白头而新  bai2 tou2 er2 xin1   
白头宫女  bai2 tou2 gong1 nv3   
白头亲  bai2 tou2 qin1   
白头人  bai2 tou2 ren2   
白头如新  bai2 tou2 ru2 xin1   
白头如新倾盖如故  bai2 tou2 ru2 xin1 qing1 gai4 ru2 gu4   
